date,time,latitude,longitude,elevation,heart_rate,cadence
2018-6-6,15:25:34,50.8860741555690765380859375,4.71107943914830684661865234375,40.200000762939453125,123,52
2018-6-6,15:25:46,50.88600198738276958465576171875,4.7113068401813507080078125,40.200000762939453125,122,51
2018-6-6,15:25:51,50.88597700931131839752197265625,4.71139275468885898590087890625,40,124,52
2018-6-6,15:25:54,50.88595286943018436431884765625,4.71144069917500019073486328125,39.799999237060546875,124,51
2018-6-6,15:25:56,50.8859335072338581085205078125,4.71147975884377956390380859375,39.799999237060546875,124,51
2018-6-6,15:25:57,50.8859274722635746002197265625,4.71149501390755176544189453125,39.799999237060546875,124,51
2018-6-6,15:26:1,50.88591163046658039093017578125,4.71156575717031955718994140625,39.799999237060546875,122,51
2018-6-6,15:26:17,50.8858166635036468505859375,4.7118276916444301605224609375,40,121,50
2018-6-6,15:26:18,50.885806269943714141845703125,4.71185040660202503204345703125,40.200000762939453125,124,73
2018-6-6,15:26:22,50.88575840927660465240478515625,4.711968004703521728515625,40.200000762939453125,127,72
2018-6-6,15:26:29,50.8856718242168426513671875,4.71219892613589763641357421875,40.200000762939453125,129,73
2018-6-6,15:26:37,50.885582976043224334716796875,4.71245004795491695404052734375,40.40000152587890625,132,72
2018-6-6,15:26:43,50.885495804250240325927734375,4.71265071071684360504150390625,40.40000152587890625,134,73
2018-6-6,15:26:51,50.8853709138929843902587890625,4.7128683887422084808349609375,40,134,72
2018-6-6,15:26:54,50.8853303454816341400146484375,4.71295966766774654388427734375,39.40000152587890625,136,72
2018-6-6,15:27:2,50.88523663580417633056640625,4.71320995129644870758056640625,39.40000152587890625,139,72
2018-6-6,15:27:7,50.88518039323389530181884765625,4.71336417831480503082275390625,39.799999237060546875,142,72
2018-6-6,15:27:15,50.88506170548498630523681640625,4.71361462958157062530517578125,39.799999237060546875,143,72
2018-6-6,15:27:23,50.88496129028499126434326171875,4.71385820768773555755615234375,39.59999847412109375,143,72
2018-6-6,15:27:32,50.884910412132740020751953125,4.714079909026622772216796875,39.59999847412109375,142,56
2018-6-6,15:27:40,50.8848793990910053253173828125,4.71436715684831142425537109375,39.59999847412109375,141,72
2018-6-6,15:27:48,50.88477269746363162994384765625,4.71460872329771518707275390625,39.799999237060546875,141,72
2018-6-6,15:27:56,50.8846540935337543487548828125,4.71473679877817630767822265625,39.799999237060546875,139,58
2018-6-6,15:28:0,50.88457136414945125579833984375,4.71467502415180206298828125,40,141,69
2018-6-6,15:28:5,50.8844556100666522979736328125,4.7146470285952091217041015625,40.40000152587890625,141,71
2018-6-6,15:28:6,50.8844331465661525726318359375,4.7146537341177463531494140625,40.59999847412109375,141,71
2018-6-6,15:28:7,50.88441596366465091705322265625,4.71466806717216968536376953125,40.59999847412109375,141,71
2018-6-6,15:28:17,50.8844100125133991241455078125,4.714957661926746368408203125,40.40000152587890625,142,72
2018-6-6,15:28:27,50.88446022011339664459228515625,4.715254046022891998291015625,40.200000762939453125,142,72
2018-6-6,15:28:34,50.88452316820621490478515625,4.71557331271469593048095703125,40.200000762939453125,143,72
2018-6-6,15:28:40,50.88456398807466030120849609375,4.71586190164089202880859375,40.799999237060546875,144,72
2018-6-6,15:28:45,50.88455543853342533111572265625,4.7159872949123382568359375,41.799999237060546875,147,71
2018-6-6,15:28:50,50.8845474757254123687744140625,4.7161386720836162567138671875,42.200000762939453125,147,71
2018-6-6,15:28:57,50.88444982655346393585205078125,4.71632659435272216796875,42.799999237060546875,150,71
2018-6-6,15:29:2,50.884358882904052734375,4.7164447791874408721923828125,43.200000762939453125,151,70
2018-6-6,15:29:8,50.88427028618752956390380859375,4.71656539477407932281494140625,43.799999237060546875,151,70
2018-6-6,15:29:18,50.8841625787317752838134765625,4.7167356312274932861328125,44.59999847412109375,150,49
2018-6-6,15:29:19,50.88415168225765228271484375,4.716729260981082916259765625,44.59999847412109375,149,50
2018-6-6,15:29:20,50.88413936085999011993408203125,4.7167264111340045928955078125,44.799999237060546875,149,64
2018-6-6,15:29:22,50.8841096051037311553955078125,4.71668441779911518096923828125,44.799999237060546875,148,71
2018-6-6,15:29:30,50.88396786712110042572021484375,4.71644972451031208038330078125,45.200000762939453125,147,71
2018-6-6,15:29:38,50.88382168672978878021240234375,4.7162399254739284515380859375,45.40000152587890625,145,72
2018-6-6,15:29:44,50.88372529484331607818603515625,4.7161048091948032379150390625,46,145,72
